"","ISO","lang.family.x","lang.genus.x","native.country.x","native.country.area.x","language.x","lang.family.y","lang.genus.y","native.country.y","native.country.area.y","language.y","lat","lon","area","perimeter","n.neighbors","mean.temp","sum.precip","sd.temp","sd.precip","growing.season","pop_log"
"792","pay","Chibchan","Paya","Honduras","North America","pech","Chibchan","Paya","Honduras","North America","pech",15,-85.5,75679,243075,2,26.1271,209.646,109.198,1.477,11.5,2.99739
"793","kgr","West Papuan","North-Central Birds Head","Indonesia","Asia","abun","West Papuan","North-Central Birds Head","Indonesia","Asia","abun",-0.5,132.5,159650,353398,7,NA,NA,NA,NA,NA,3.47712
"794","ace","Austronesian","Sundic","Indonesia","Asia","acehnese","Austronesian","Sundic","Indonesia","Asia","acehnese",5.5,95.5,1750023,3792615,9,23.8333,172.958,78.79,0.535,12,6.47712
"795","ahh","Trans-New Guinea","Awju-Dumut","Indonesia","Asia","aghu","Trans-New Guinea","Awju-Dumut","Indonesia","Asia","aghu",-6.17,140.17,61532,215643,4,26.8,372.25,57.372,0.8464,12,3.47712
"796","alp","Austronesian","Central Malayo-Polynesian","Indonesia","Asia","alune","Austronesian","Central Malayo-Polynesian","Indonesia","Asia","alune",-3,128.33,36434,203692,9,NA,NA,NA,NA,NA,4.23661
"797","btz","Austronesian","Sundic","Indonesia","Asia","alas","Austronesian","Sundic","Indonesia","Asia","alas",3.67,97.83,114098,530687,6,NA,NA,NA,NA,NA,4.90309
"798","amk","Austronesian","South Halmahera - West New Guinea","Indonesia","Asia","ambai","Austronesian","South Halmahera - West New Guinea","Indonesia","Asia","ambai",-1.83,136.5,2494,222240,3,NA,NA,NA,NA,NA,4.0023
"799","jbj","Marind","South Birds Head","Indonesia","Asia","arandai","Marind","South Birds Head","Indonesia","Asia","arandai",-2.08,133,56457,210953,6,NA,NA,NA,NA,NA,3
"800","tml","Trans-New Guinea","Asmat-Kamoro","Indonesia","Asia","asmat","Trans-New Guinea","Asmat-Kamoro","Indonesia","Asia","asmat",-5.5,138.5,15663,111521,4,NA,NA,NA,NA,NA,2.4624
"801","atq","Austronesian","Sulawesi","Indonesia","Asia","aralletabulahan","Austronesian","Sulawesi","Indonesia","Asia","aralletabulahan",-2.75,119.25,11890,159270,7,NA,NA,NA,NA,NA,4.07918
"802","auw","Border","Border","Indonesia","Asia","awyi","Border","Border","Indonesia","Asia","awyi",-2.92,140.58,4470,47280,2,27.1833,207.75,69.981,0.185,12,2.54407
"803","bdl","Austronesian","Sama-Bajaw","Indonesia","Asia","bajausama","Austronesian","Sama-Bajaw","Indonesia","Asia","bajausama",-4.33,123,NA,NA,NA,NA,NA,NA,NA,NA,4.95424
"804","ban","Austronesian","Sundic","Indonesia","Asia","balinese","Austronesian","Sundic","Indonesia","Asia","balinese",-8.33,115.25,108186,803802,4,26.7083,137.917,98.347,0.753,8.5,6.59106
"805","ptu","Austronesian","Sulawesi","Indonesia","Asia","bambam","Austronesian","Sulawesi","Indonesia","Asia","bambam",-3.08,119.08,21435,181524,8,NA,NA,NA,NA,NA,4.34242
"806","bgz","Austronesian","Sulawesi","Indonesia","Asia","banggai","Austronesian","Sulawesi","Indonesia","Asia","banggai",-1.42,123.17,85241,1531531,1,NA,NA,NA,NA,NA,5
"807","bhw","Austronesian","South Halmahera - West New Guinea","Indonesia","Asia","biak","Austronesian","South Halmahera - West New Guinea","Indonesia","Asia","biak",-1,136,397636,3726175,34,26.9979,229.063,59.437,0.349,12,4.47712
"808","bhp","Austronesian","Central Malayo-Polynesian","Indonesia","Asia","bima","Austronesian","Central Malayo-Polynesian","Indonesia","Asia","bima",-8.5,118.5,128844,1728672,3,22.1333,312.667,271.837,0.5466,12,5.69897
"809","bth","Austronesian","Borneo","Malaysia","Asia","biatah","Austronesian","Borneo","Malaysia","Asia","biatah",1.25,110,21367.5,99543.5,9,NA,NA,NA,NA,NA,4.4728
"810","btx","Austronesian","Sundic","Indonesia","Asia","batakkaro","Austronesian","Sundic","Indonesia","Asia","batakkaro",3.25,98.25,853085,716633,9,26.2333,176.833,67.198,0.496,12,5.77815
"811","blz","Austronesian","Sulawesi","Indonesia","Asia","balantak","Austronesian","Sulawesi","Indonesia","Asia","balantak",-0.83,123.25,29301,161816,2,NA,NA,NA,NA,NA,4.47712
"812","bnq","Austronesian","Sulawesi","Indonesia","Asia","bantik","Austronesian","Sulawesi","Indonesia","Asia","bantik",1.42,124.75,3504,65280,4,NA,NA,NA,NA,NA,4.04139
"813","bkl","Tor","Tor","Indonesia","Asia","berik","Tor","Tor","Indonesia","Asia","berik",-2.25,138.83,22910,111950,3,NA,NA,NA,NA,NA,3.07918
"814","bbc","Austronesian","Sundic","Indonesia","Asia","bataktoba","Austronesian","Sundic","Indonesia","Asia","bataktoba",2.5,99,1566872,891473,8,NA,NA,NA,NA,NA,6.30103
"815","bug","Austronesian","Sulawesi","Indonesia","Asia","bugis","Austronesian","Sulawesi","Indonesia","Asia","bugis",-4,120,1046392.5,80983,34.5,26.9083,249.667,111.41,0.4889,12,6.54407
"816","bzq","Austronesian","South Halmahera - West New Guinea","Indonesia","Asia","buliinindonesia","Austronesian","South Halmahera - West New Guinea","Indonesia","Asia","buliinindonesia",1,128.5,35564,282389,5,NA,NA,NA,NA,NA,3.40209
"817","mhs","Austronesian","Central Malayo-Polynesian","Indonesia","Asia","buru","Austronesian","Central Malayo-Polynesian","Indonesia","Asia","buru",-3.5,126.5,188942,527102,4,NA,NA,NA,NA,NA,4.51825
"818","bvz","East Geelvink Bay","East Geelvink Bay","Indonesia","Asia","bauzi","East Geelvink Bay","East Geelvink Bay","Indonesia","Asia","bauzi",-2.5,137.5,864772,0,24,NA,NA,NA,NA,NA,3.17609
"819","kzf","Austronesian","Sulawesi","Indonesia","Asia","daa","Austronesian","Sulawesi","Indonesia","Asia","daa",-1,119.58,59144,204052,7,26.975,55.667,25.489,0.5294,6,4.54407
"820","kbv","Senagi","Senagi","Papua New Guinea","Australia and Oceania","dlaproper","Senagi","Senagi","Papua New Guinea","Australia and Oceania","dlaproper",-3.58,141,7164.5,95523.5,8,NA,NA,NA,NA,NA,3.22712
