"","ISO","lang.family","lang.genus","native.country","native.country.area","language","lat","lon","area","perimeter","n.neighbors","mean.temp","sum.precip","sd.temp","sd.precip","growing.season","pop_log","morphological.complexity","complexity.bias","p.complexity.bias","mono.complexity.bias","open.complexity.bias","morphological.complexity.ld","propPresent","adjusted.complexity","ratio.L2.L1","scaled.LDT.ZM","scaled.LDT.H","scaled.LDT.TTR","stock","region","n.L1.speakers","n.L2.speakers","TTR.LDT","n.phonemes","n.consonants","n.vowels","n.sonorants","n.obstruents","n.monophthongs","n.qual.monophthongs","n.tones","mean.length","mean.dependency.length","information.density","syllable.rate","information.rate","mean.aoa","normalized.vowel.diversity","normalized.consonant.diversity","normalized.tone.diversity","normalized.phoneme.diversity","distance.from.origin"
"1843","bdq","Austro-Asiatic","Bahnaric","Viet Nam","Asia","bahnarpleibongmangyang",13.83,108.33,454442,414161,5,23.2354,167.7085,158.415,1.84695,8,5.19991,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.62015503875969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1844","cad","Caddoan","Caddoan","USA","North America","caddo",33.33,-93.5,3915,25220,4,NA,NA,NA,NA,NA,1.69897,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,20,3,11,9,3,3,0,5.3,NA,NA,NA,NA,NA,-1.2345266,0.12048546,0.54663194,-0.189136395,19389.69
"1845","chl","Uto-Aztecan","Takic","USA","North America","cahuilla",33.5,-116.25,11890,45528,1,NA,NA,NA,NA,NA,1.69897,22,NA,NA,NA,NA,-5,0.75,-3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.81081081081081,NA,NA,NA,NA,NA,-1.2345266,0.12048546,-0.7687792,-0.627606761,18359.56
"1846","boi","Chumash","Chumash","USA","North America","chumashbarbareno",34.5,-120.25,NA,NA,NA,15.0167,32.717,32.201,3.0395,5.6,1.69897,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.52857142857143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1847","cic","Muskogean","Muskogean","USA","North America","chickasaw",34,-88,45420,205080,4,15.3125,122.792,23.973,8.0375,9.5,3,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,16,9,5,11,9,3,0,5.296875,NA,NA,NA,NA,NA,-1.2345266,-0.7169629,-0.7687792,-0.906756206,19571.84
"1848","cho","Muskogean","Muskogean","USA","North America","choctaw",32.25,-88.5,63515,1160352,3,17.1397,121.526,26.888,7.5182,11.4615,3.96431,16,NA,NA,NA,NA,-1,0.25,-0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,15,6,5,10,6,3,0,5.05729166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1849","chr","Iroquoian","Southern Iroquoian","USA","North America","cherokee",35.5,-83.5,190421,1801198,10,13.435,106.833,16.968,7.8572,9,4.17609,15,NA,NA,NA,NA,-1,0.25,-0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,11,6,5,6,6,5,0,6.53448275862069,NA,NA,NA,NA,NA,-0.4846364,-1.5544112,0.54663194,-0.497471906,19625.88
"1850","cid","Hokan","Chimariko","USA","North America","chimariko",41,-123,NA,NA,NA,12.3833,83.097,67.557,6.9051,4.6667,1.69897,14,NA,NA,NA,NA,-1,0.20833,-0.20833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.92424242424242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1851","cjh","Salishan","Tsamosan","USA","North America","chehalisupper",46.58,-123,NA,NA,NA,10.5464,113.167,71.33,5.1258,7.4286,1.69897,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1852","inz","Chumash","Chumash","USA","North America","chumashineseno",34.67,-120.25,NA,NA,NA,14.8583,33.014,32.222,2.8822,5.6667,1.69897,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.24786324786325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1853","chh","Penutian","Chinookan","USA","North America","chinooklower",46.25,-123.5,NA,NA,NA,10.3033,164.467,103.084,4.2487,9.2,1.69897,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1854","wac","Penutian","Chinookan","USA","North America","chinookupper",45.5,-122.5,26374,168626,3,11.2352,110.046,65.035,5.5637,7.6667,1.83885,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1855","clm","Salishan","Central Salish","USA","North America","clallam",48.08,-123.75,20933,166329,3,9.1417,159.917,104.903,5.119,6,1.69897,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1856","cjm","Austronesian","Sundic","Viet Nam","Asia","chameastern",11.33,108.5,101565,407560,6,23.4146,143.552,100.3695,1.2124,8.25,4.86257,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.33529411764706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1857","ute","Uto-Aztecan","Numic","USA","North America","chemehuevi",34.33,-115.17,805303,3006634,7,10.7519,18.806,4.188,8.4789,2,3.29754,16,NA,NA,NA,NA,-1,0.29167,-0.29167,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,19,18,5,14,18,9,0,4.63666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1858","com","Uto-Aztecan","Numic","USA","North America","comanche",33.5,-101.5,11605,45527,5,13.975,41.167,27.209,8.5409,8,2.30103,22,NA,NA,NA,NA,-7,0.79167,-5.54169,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,12,6,4,8,6,6,0,5.20555555555556,NA,NA,NA,NA,NA,-0.4846364,-1.5544112,-0.7687792,-0.935942272,19011.85
"1859","crd","Salishan","Interior Salish","USA","North America","coeurdalene",47.25,-116.5,103207,140478,4,8.5417,62.083,26.183,7.8506,5,1.69897,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,41,6,13,28,6,6,0,6.69387755102041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1860","csz","Oregon Coast","Coosan","USA","North America","cooshanis",43.5,-124.17,5599,45156,2,11.1083,135,99.071,2.864,10,1.69897,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.83783783783784,NA,NA,NA,NA,NA,-0.4846364,1.79538213,-0.7687792,0.180655509,17054.48
"1861","cro","Siouan","Siouan","USA","North America","crow",47,-108,901173,438608,3,9.2639,32.139,16.908,9.6448,5,3.63144,14,NA,NA,NA,NA,0,0.125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,10,10,2,8,10,5,3,4.21794871794872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1862","ctm","Chitimacha","Chitimacha","USA","North America","chitimacha",29.67,-91,NA,NA,NA,20.045,133.067,28.483,6.2213,12,1.69897,16,NA,NA,NA,NA,0,0.20833,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1863","chc","Siouan","Siouan","USA","North America","catawba",35.5,-80.5,NA,NA,NA,14.8,95.726,10.906,8.0194,9.2857,1.69897,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.13888888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1864","cup","Uto-Aztecan","Takic","USA","North America","cupeno",33.17,-116.5,NA,NA,NA,17.5844,35.188,28.826,6.254,3.375,1.69897,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.41176470588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1865","col","Salishan","Interior Salish","USA","North America","columbiawenatchi",47.5,-120,213591,187166,4,8.3917,25.792,13.651,9.4287,1,1.87506,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.984375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1866","chy","Algic","Algonquian","USA","North America","cheyenne",43.5,-104,168258,174831,3,6.6292,29.417,20.868,10.8638,5.5,3.23578,12,NA,NA,NA,NA,-1,0.125,-0.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.76923076923077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1867","ing","Eskimo-Aleut","Eskimo-Aleut","USA","North America","degexitan",62,-160,1040520,396280,3,-2.3,36.25,22.095,12.4012,5,1.69897,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1868","esq","Esselen","Esselen","USA","North America","esselen",36.25,-121.75,NA,NA,NA,13.9333,33.042,29.346,2.3745,6,1.69897,13,NA,NA,NA,NA,0,0.08333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
