iso_639_3,fileName,Language,Stock,Stock_coarse,Region,Region_coarse,L1_speakers,L2_speakers,RatioL2,PercL2,LDT,LDTinv,LDTscaled,measure,text,genus_wals,family_wals
pol,udhr_pol.csv,Polish,Indo-European,Indo-European,Europe,Europe,39990670,1145760,0.028650683,0.0279,0.760917424,0.239082576,0.712672698,a,UDHR,Slavic,Indo-European
pol,udhr_pol.csv,Polish,Indo-European,Indo-European,Europe,Europe,39990670,1145760,0.028650683,0.0279,8.401299803,8.401299803,0.812760528,H,UDHR,Slavic,Indo-European
pol,udhr_pol.csv,Polish,Indo-European,Indo-European,Europe,Europe,39990670,1145760,0.028650683,0.0279,0.463091483,0.463091483,0.714252302,TTR,UDHR,Slavic,Indo-European
fin,freqlist_finnish.csv,finnish,Uralic,Uralic,Inner Asia,Inner Asia,5504695,161243,0.029291904,0.028458307,1.046435481,-0.046435481,1.669764147,a,EPC,Finnic,Ura
fin,freqlist_finnish.csv,finnish,Uralic,Uralic,Inner Asia,Inner Asia,5504695,161243,0.029291904,0.028458307,12.56137847,12.56137847,1.693593999,H,EPC,Finnic,Ura
fin,freqlist_finnish.csv,finnish,Uralic,Uralic,Inner Asia,Inner Asia,5504695,161243,0.029291904,0.028458307,0.04268088,0.04268088,2.127938995,TTR,EPC,Finnic,Ura
fin,zipf_stats_fin-x-bible-finna-v1.txt,finna,Uralic,Uralic,Inner Asia,Inner Asia,5504695,161243,0.029291904,0.028458307,0.949827078,0.050172922,1.226301819,a,PBC,Finnic,Uralic
fin,zipf_stats_fin-x-bible-finna-v1.txt,finna,Uralic,Uralic,Inner Asia,Inner Asia,5504695,161243,0.029291904,0.028458307,8.852916766,8.852916766,0.736280633,H,PBC,Finnic,Uralic
fin,zipf_stats_fin-x-bible-finna-v1.txt,finna,Uralic,Uralic,Inner Asia,Inner Asia,5504695,161243,0.029291904,0.028458307,0.189077887,0.189077887,1.21530168,TTR,PBC,Finnic,Uralic
fin,udhr_fin.csv,Finnish,Uralic,Uralic,Inner Asia,Inner Asia,5504695,161243,0.029291904,0.0285,0.635251506,0.364748494,1.310688438,a,UDHR,Finnic,Uralic
fin,udhr_fin.csv,Finnish,Uralic,Uralic,Inner Asia,Inner Asia,5504695,161243,0.029291904,0.0285,8.714531118,8.714531118,1.292243621,H,UDHR,Finnic,Uralic
fin,udhr_fin.csv,Finnish,Uralic,Uralic,Inner Asia,Inner Asia,5504695,161243,0.029291904,0.0285,0.59025788,0.59025788,1.691374162,TTR,UDHR,Finnic,Uralic
isl,udhr_isl.csv,Icelandic,Indo-European,Indo-European,Europe,Europe,269025,9553,0.035509711,0.0343,0.769994565,0.230005435,0.669476635,a,UDHR,Germanic,Indo-European
isl,udhr_isl.csv,Icelandic,Indo-European,Indo-European,Europe,Europe,269025,9553,0.035509711,0.0343,8.324281104,8.324281104,0.694863108,H,UDHR,Germanic,Indo-European
isl,udhr_isl.csv,Icelandic,Indo-European,Indo-European,Europe,Europe,269025,9553,0.035509711,0.0343,0.434405941,0.434405941,0.493838177,TTR,UDHR,Germanic,Indo-European
som,zipf_stats_som-x-bible-somal-v1.txt,somal,Cushitic,Other,Greater Abyssinia  ,Other,13871700,500000,0.036044609,0.034790595,0.989933368,0.010066632,1.078379773,a,PBC,Eastern Cushitic,Afro-Asiatic
som,zipf_stats_som-x-bible-somal-v1.txt,somal,Cushitic,Other,Greater Abyssinia  ,Other,13871700,500000,0.036044609,0.034790595,9.600822146,9.600822146,1.371516779,H,PBC,Eastern Cushitic,Afro-Asiatic
som,zipf_stats_som-x-bible-somal-v1.txt,somal,Cushitic,Other,Greater Abyssinia  ,Other,13871700,500000,0.036044609,0.034790595,0.16821112,0.16821112,0.914877812,TTR,PBC,Eastern Cushitic,Afro-Asiatic
som,udhr_som.csv,Somali,Cushitic,Other,Greater Abyssinia  ,Other,13871700,500000,0.036044609,0.0348,0.93061676,0.069383241,-0.094888136,a,UDHR,Eastern Cushitic,Afro-Asiatic
som,udhr_som.csv,Somali,Cushitic,Other,Greater Abyssinia  ,Other,13871700,500000,0.036044609,0.0348,8.203079604,8.203079604,0.509332264,H,UDHR,Eastern Cushitic,Afro-Asiatic
som,udhr_som.csv,Somali,Cushitic,Other,Greater Abyssinia  ,Other,13871700,500000,0.036044609,0.0348,0.378609626,0.378609626,0.065110146,TTR,UDHR,Eastern Cushitic,Afro-Asiatic
tsn,udhr_tsn.csv,Tswana ,Benue-Congo,Benue-Congo,S Africa,S Africa,4460850,175000,0.039230192,0.0377,1.087036083,-0.087036083,-0.83925239,a,UDHR,Bantoid,Niger-Congo
