iso,filename,H_ML,H_MM,H_Jeff,H_Lap,H_SG,H_minmax,H_CS,H_NSB,H_shrink,Corpus,H_scaled
kyq,kyq-x-bible.csv,8.3694148716,8.4226791725,8.5733405782,8.7540228745,8.3695327941,8.3955628977,8.5282456228,8.4779876324,8.3777455636,PBC,-0.6779535097
bzh,bzh-x-bible.csv,8.3652336199,8.4101735704,8.5351969307,8.6872851651,8.3653495191,8.3909125541,8.4925636526,8.454839503,8.3782195211,PBC,-0.6775437474
wuv,wuv-x-bible.csv,8.3771381317,8.434369844,8.5981381391,8.7928113571,8.3772574439,8.4035995865,8.5476928599,8.4955985842,8.3856274548,PBC,-0.6711391823
cnl,cnl-x-bible.csv,8.3814135648,8.4371015934,8.5942419479,8.7822586441,8.3815314592,8.407560033,8.5467035215,8.4947680835,8.387439378,PBC,-0.6695726753
tby,tby-x-bible.csv,8.3830259063,8.4719392017,8.7428443124,9.0472166201,8.3831536394,8.4113910007,8.7001665288,8.5832565994,8.3878839842,PBC,-0.6691882888
afr,afr-x-bible-1983.csv,8.3788868881,8.4361618812,8.5992637323,8.7936862795,8.379005651,8.4052303411,8.5544123075,8.496672734,8.387974,PBC,-0.6691104652
sbl,sbl-x-bible.csv,8.381728213,8.4440670657,8.6240696692,8.8362842028,8.3818486875,8.4084568418,8.5764605988,8.5123261336,8.3885906398,PBC,-0.6685773463
nvm,nvm-x-bible.csv,8.3807575354,8.4389702803,8.6064626926,8.8049779031,8.3808774304,8.4073494004,8.5570693522,8.5020568084,8.3887358662,PBC,-0.6684517901
afr,afr-x-bible-1953.csv,8.3840355251,8.4519576076,8.6496809544,8.8808812207,8.3841571062,8.4110187775,8.6006766834,8.5279040098,8.3908550922,PBC,-0.666619603
tso,tso-x-bible.csv,8.3837732346,8.4410049469,8.6031532096,8.7966908606,8.3838915586,8.4100188221,8.5529092137,8.5008248554,8.392942863,PBC,-0.6648146106
tbc,tbc-x-bible.csv,8.3798347811,8.4174314138,8.5161973288,8.6395571097,8.3799452851,8.4043003369,8.4785354397,8.449851066,8.3938615244,PBC,-0.6640203774
bon,bon-x-bible.csv,8.3790243778,8.4300236475,8.5793065422,8.7565664444,8.3791454496,8.4058566802,8.5351037417,8.4871229179,8.3939115568,PBC,-0.6639771216
aau,aau-x-bible.csv,8.3792427738,8.4165364406,8.5152968415,8.6383341197,8.3793539523,8.4038543468,8.4777708104,8.4493427489,8.3946526913,PBC,-0.6633363702
zpm,zpm-x-bible.csv,8.391119479,8.4493899317,8.6158359189,8.8135456671,8.3912387048,8.4175638952,8.5678135968,8.5115544167,8.3994978512,PBC,-0.6591474636
mna,mna-x-bible.csv,8.3956086015,8.4385864868,8.5536116437,8.6955708856,8.3957210093,8.4205127098,8.5118084712,8.4775545032,8.4060934877,PBC,-0.653445174
emi,emi-x-bible.csv,8.4001573219,8.4545902058,8.6087998404,8.7931903416,8.4002755532,8.4263735614,8.5592418655,8.5114652643,8.4097953531,PBC,-0.6502447083
lus,lus-x-bible-1959.csv,8.4088967755,8.4676288907,8.6322039583,8.8288205479,8.4090142628,8.4349589756,8.5808160977,8.5276902375,8.4143434379,PBC,-0.6463126394
eng,eng-x-bible-scriptures.csv,8.4103609851,8.4610717158,8.5995164699,8.7679206729,8.4104755674,8.4357670295,8.5523420064,8.5095504969,8.418929593,PBC,-0.6423476567
azg,azg-x-bible.csv,8.4149995465,8.4885048588,8.7040157254,8.9533184851,8.4151223795,8.4422633388,8.650003031,8.5725849186,8.4194339749,PBC,-0.6419115909
hix,hix-x-bible.csv,8.4137193103,8.4818722241,8.6830778538,8.9168388157,8.4138423856,8.4410297681,8.6338562424,8.5605869256,8.4232251516,PBC,-0.6386339106
rmy,rmy-x-bible.csv,8.4166082664,8.4671025929,8.6037306086,8.7703941505,8.4167220793,8.4418434821,8.5561917965,8.5143925398,8.4248333761,PBC,-0.6372435123
tzj,tzj-x-bible-western.csv,8.4221270812,8.4841918218,8.6611362059,8.8703926459,8.4222464435,8.4486074434,8.6108164378,8.5504072698,8.4271366717,PBC,-0.6352521869
otm,otm-x-bible.csv,8.4283010512,8.4800505223,8.6242286344,8.7980031655,8.4284176109,8.4541419941,8.5770735337,8.5320505279,8.4386147876,PBC,-0.625328726
txu,txu-x-bible.csv,8.4305113348,8.4867620144,8.6450567764,8.8342602836,8.4306291077,8.456629738,8.5960100313,8.5447979939,8.439291246,PBC,-0.6247438906
hnn,hnn-x-bible.csv,8.4311729045,8.4910303217,8.6632390648,8.8667409044,8.4312929817,8.4578062947,8.6163003044,8.5560818071,8.4396209773,PBC,-0.6244588198
afr,afr-x-bible-boodskap.csv,8.4286780848,8.4800091744,8.6231848212,8.7957527743,8.4287947266,8.4545358172,8.5765955908,8.5317111913,8.4403689099,PBC,-0.623812191
dop,dop-x-bible.csv,8.4339452827,8.4880752006,8.6383952755,8.8193163368,8.4340616927,8.4597593243,8.5916316954,8.5421603617,8.4433234456,PBC,-0.6212578328
mpx,mpx-x-bible.csv,8.4367879282,8.4838919213,8.6092829393,8.7635667707,8.4369001492,8.4616628932,8.5634642073,8.5262264507,8.4457915954,PBC,-0.6191239819
mmx,mmx-x-bible.csv,8.4410897218,8.4774456368,8.5675952343,8.6823914228,8.4411955528,8.4645205458,8.5283923834,8.5044811631,8.4521323557,PBC,-0.6136420467
eng,eng-x-bible-easytoread.csv,8.4446754597,8.482719328,8.5764761833,8.6960571048,8.4447808146,8.4680121572,8.5350058902,8.5105157929,8.4548387699,PBC,-0.6113022032
ahk,ahk-x-bible.csv,8.4409980135,8.47285272,8.5502102235,8.649783873,8.4411020424,8.4640087419,8.5153999194,8.4951641144,8.4557452454,PBC,-0.6105185054
cao,cao-x-bible.csv,8.4478838335,8.5233079303,8.7483830821,9.0064935378,8.4480085864,8.4755729889,8.6999193086,8.6130666528,8.4570676151,PBC,-0.6093752442
ceb,ceb-x-bible-godsword.csv,8.4530849349,8.5291726713,8.7494044768,9.0044383641,8.4532067245,8.4801215527,8.6985696481,8.6140587577,8.4585859352,PBC,-0.6080625732
yor,yor-x-bible.csv,8.4534871873,8.5096224514,8.6672488219,8.8557195193,8.453604787,8.4795662781,8.6186894814,8.5672952476,8.4637146846,PBC,-0.6036284879
eng,eng-x-bible-literal.csv,8.4609165609,8.5234573909,8.6990518144,8.9075829402,8.4610345569,8.4870961591,8.6498411705,8.5880100582,8.4680155965,PBC,-0.5999101136
bto,bto-x-bible.csv,8.4640010948,8.5346210171,8.7380014264,8.9753363976,8.4641220251,8.4908406318,8.6890518062,8.6122281353,8.4722820458,PBC,-0.5962215341
acr,acr-x-bible-reformed.csv,8.4782149372,8.5360958622,8.6961637458,8.8880506459,8.4783313024,8.5040248258,8.6469512857,8.5936725276,8.4845788249,PBC,-0.585590294
nus,nus-x-bible.csv,8.477745369,8.5260756529,8.6550596592,8.8131647997,8.4778579938,8.5027090643,8.6103278629,8.569946905,8.4869078767,PBC,-0.5835767009
ceb,ceb-x-bible-popular.csv,8.4826237028,8.5509064591,8.7435552828,8.9704035068,8.4827425702,8.5090040005,8.6927848301,8.6225469734,8.4885986095,PBC,-0.5821149696
pao,pao-x-bible.csv,8.4843124315,8.5741490517,8.8438044747,9.1470181879,8.4844389471,8.5124054084,8.7957789057,8.6837719897,8.4915763474,PBC,-0.5795405518
tuc,tuc-x-bible-2011VAR1.csv,8.4792131753,8.5172858974,8.6125851867,8.7333071168,8.4793198555,8.5028373342,8.5731303562,8.5463823494,8.4923028944,PBC,-0.5789124121
mnf,mnf-x-bible.csv,8.4823749242,8.5224385655,8.6240842706,8.751921325,8.4824828395,8.5062765072,8.5843368485,8.5542557706,8.4947910046,PBC,-0.5767613043
bbb,bbb-x-bible.csv,8.4863091267,8.5494703156,8.7284905941,8.9399921729,8.4864281389,8.5127113534,8.6771866508,8.6162206885,8.4951341715,PBC,-0.5764646177
mos,mos-x-bible-protestant.csv,8.49016553,8.5545097288,8.7338458837,8.9467536041,8.4902830286,8.5162371865,8.6817709042,8.6200114629,8.4978599096,PBC,-0.5741080676
akh,akh-x-bible.csv,8.4875138658,8.5252403412,8.6208034325,8.7412411958,8.4876215821,8.5113599111,8.5816853265,8.5550639231,8.5014099542,PBC,-0.5710388592
cac,cac-x-bible-sansebastian.csv,8.4939313888,8.5446998273,8.6805457584,8.8464311924,8.4940444098,8.5189880757,8.6335291321,8.5911948799,8.5033750807,PBC,-0.5693398996
awi,awi-x-bible.csv,8.4960310219,8.5602886591,8.7433701722,8.9589320445,8.4961506291,8.5225655723,8.6938566875,8.6290931557,8.5046806457,PBC,-0.568211167
pbl,pbl-x-bible-1994.csv,8.4981034145,8.5679154275,8.7669909312,8.9999565549,8.4982234553,8.5247432428,8.7149844126,8.6431034056,8.5050323448,PBC,-0.5679071038
eng,eng-x-bible-newcentury.csv,8.4957276371,8.5370464231,8.6400378019,8.7702452491,8.4958341673,8.5193305852,8.5961933726,8.5683696884,8.5059278615,PBC,-0.5671328805
cac,cac-x-bible-ixtatan.csv,8.4976947565,8.5633950887,8.7491442206,8.9681556815,8.4978137069,8.5240877334,8.6962854599,8.6325881891,8.5061111498,PBC,-0.5669744177
eng,eng-x-bible-lexham.csv,8.4981951237,8.5538542984,8.7046120607,8.8871265743,8.4983094531,8.5235531119,8.6588711602,8.6064765735,8.5069480765,PBC,-0.5662508487
kjb,kjb-x-bible.csv,8.4962042664,8.551603756,8.7042152137,8.887860886,8.4963201336,8.5218988632,8.6558848991,8.6061279229,8.507375336,PBC,-0.5658814594
bts,bts-x-bible.csv,8.5018827904,8.5692710757,8.7603987,8.9851132858,8.5020021412,8.5283671093,8.711612479,8.6408301485,8.5103880774,PBC,-0.5632767792
mfz,mfz-x-bible.csv,8.5014687667,8.560143174,8.7228888755,8.9175192183,8.5015854894,8.527358056,8.6733631582,8.6189943369,8.5116714259,PBC,-0.562167254
bcl,bcl-x-bible.csv,8.5062501889,8.5727584303,8.7602705566,8.9813638836,8.506368933,8.5325991297,8.7114269142,8.6424195419,8.513953998,PBC,-0.5601938452
ote,ote-x-bible.csv,8.5042446164,8.5606684195,8.7178933384,8.9059940434,8.5043616487,8.5301962933,8.6710359687,8.6178001253,8.5152449445,PBC,-0.5590777511
dik,dik-x-bible.csv,8.5060178775,8.5467884393,8.6492394582,8.7783590148,8.5061250858,8.5297656552,8.6071911563,8.578408915,8.5170675329,PBC,-0.5575020234
tbo,tbo-x-bible.csv,8.5123969512,8.5694555401,8.7265536011,8.9151748254,8.5125129186,8.5381161152,8.6801531396,8.6256753321,8.5222710733,PBC,-0.5530032773
acr,acr-x-bible-traditional.csv,8.515993148,8.5743790163,8.7339914105,8.9257845611,8.5161085752,8.5415956972,8.6841906806,8.6310446107,8.5223603988,PBC,-0.5529260505
kek,kek-x-bible-1988.csv,8.5172276525,8.5897375052,8.795621669,9.0360292641,8.517347519,8.5438319742,8.7448993868,8.6673408366,8.5225032116,PBC,-0.552802581
bbr,bbr-x-bible.csv,8.5110479738,8.5585270676,8.6845335304,8.8393018649,8.5111601171,8.5359017485,8.640203294,8.6010714819,8.5241135627,PBC,-0.5514103441
gaw,gaw-x-bible.csv,8.5186266241,8.576247864,8.7336477327,8.9229377204,8.518741954,8.544205595,8.6836962775,8.6320594535,8.5269481529,PBC,-0.5489596853
zat,zat-x-bible.csv,8.5176803022,8.5803654017,8.7562495874,8.9647099266,8.5177983957,8.5438779623,8.702995665,8.6451821936,8.5277015121,PBC,-0.548308365
agu,agu-x-bible.csv,8.5277628112,8.5886589689,8.7554916833,8.9550721711,8.527878665,8.5534622927,8.7029940053,8.6482742924,8.5333097702,PBC,-0.5434597182
twu,twu-x-bible.csv,8.5207947608,8.5700050887,8.7018112593,8.8628784249,8.5209078106,8.5458525257,8.6574022169,8.6151666619,8.5347299563,PBC,-0.5422318894
cok,cok-x-bible.csv,8.5282547411,8.5931471641,8.7783823444,8.9959508906,8.5283746454,8.5548540387,8.7280957016,8.6630658854,8.5372508518,PBC,-0.5400524369
zpl,zpl-x-bible.csv,8.5370014599,8.5991383353,8.7722936358,8.977974604,8.537118934,8.5630604955,8.7224307119,8.6624435515,8.5457549181,PBC,-0.532700205
eng,eng-x-bible-majority.csv,8.5390227024,8.5945953154,8.7435585736,8.9243383238,8.5391361936,8.5641936679,8.697679987,8.6459514785,8.5483612382,PBC,-0.5304468983
sum,sum-x-bible.csv,8.541134078,8.6046847946,8.781385323,8.9911600096,8.5412514211,8.5671673303,8.7340250026,8.6691552244,8.5497542247,PBC,-0.529242585
otn,otn-x-bible.csv,8.5415339688,8.603151474,8.7744348307,8.9781563263,8.5416511909,8.5675362721,8.7228905406,8.6655604145,8.5507619209,PBC,-0.5283713764
ttc,ttc-x-bible.csv,8.5424536887,8.5976512009,8.7461864877,8.9261010366,8.5425675734,8.5677082814,8.6978991722,8.649205113,8.5515750222,PBC,-0.5276684057
eng,eng-x-bible-clontz.csv,8.5492376279,8.605647004,8.7569698502,8.940331544,8.5493512648,8.5744417163,8.7099030261,8.6579419744,8.558687837,PBC,-0.5215189871
cle,cle-x-bible.csv,8.5517199959,8.6133230741,8.7822263488,8.9841165988,8.5518359431,8.5774420916,8.7350544387,8.6737554391,8.560434222,PBC,-0.5200091414
bvz,bvz-x-bible.csv,8.5521706907,8.6014242994,8.7322699242,8.8924090203,8.5522831156,8.5770886279,8.688388679,8.6458329581,8.5646641472,PBC,-0.516352139
tzo,tzo-x-bible-chenalho.csv,8.5593401059,8.631171892,8.8313171426,9.066542065,8.5594582116,8.5855540674,8.7793032674,8.7049222215,8.5662219518,PBC,-0.5150053315
dip,dip-x-bible.csv,8.5569637219,8.6060442072,8.7336108357,8.8909296931,8.5570742791,8.5814702146,8.6856914875,8.6479777544,8.5663882677,PBC,-0.5148615422
pah,pah-x-bible.csv,8.566168001,8.6545474992,8.9113826551,9.2033470963,8.566291304,8.5935479219,8.8622111247,8.7554587365,8.5739317266,PBC,-0.5083398082
zai,zai-x-bible.csv,8.562072879,8.6062049203,8.7169468387,8.8559747824,8.562180214,8.5858579106,8.6724211553,8.6404676011,8.5740607314,PBC,-0.5082282764
crn,crn-x-bible.csv,8.566597939,8.6368860414,8.8390296413,9.074126944,8.5667190241,8.5934642688,8.7849192318,8.714348473,8.5755068911,PBC,-0.506977992
men,men-x-bible.csv,8.5671858791,8.6317032014,8.8092339996,9.0203322685,8.5673024036,8.5930387347,8.7534937249,8.695758219,8.5760557592,PBC,-0.5065034654
eng,eng-x-bible-kingjames.csv,8.5687329399,8.6323557912,8.8063642792,9.0139674217,8.5688488314,8.5944454339,8.7555374686,8.6945688138,8.5760611538,PBC,-0.5064988015
bfd,bfd-x-bible.csv,8.5679326049,8.6282228306,8.7929964337,8.9902550609,8.568048253,8.593584379,8.7404262322,8.6869564687,8.5767882537,PBC,-0.5058701838
nss,nss-x-bible.csv,8.5730287891,8.6301306588,8.782599072,8.9672593585,8.5731421575,8.5981725553,8.7332095336,8.6826292252,8.5813556361,PBC,-0.5019214311
gym,gym-x-bible.csv,8.5674253356,8.6054836307,8.6984100417,8.8168150508,8.5675302251,8.5906496302,8.6622005452,8.6328165246,8.5816823465,PBC,-0.501638972
swp,swp-x-bible.csv,8.5724962987,8.6458861955,8.8561010696,9.1001291979,8.5726171961,8.5993262932,8.8023093928,8.7262335491,8.5816828756,PBC,-0.5016385146
cjp,cjp-x-bible.csv,8.5697506593,8.6304592667,8.798491319,8.9987364989,8.5698674606,8.5956577791,8.7489935595,8.6913495654,8.5818292291,PBC,-0.501511984
pse,pse-x-bible.csv,8.5729315983,8.6253014283,8.7621364074,8.9299712694,8.5730428032,8.5975887502,8.7137035641,8.6707770438,8.5826475146,PBC,-0.5008045312
ese,ese-x-bible.csv,8.5689570588,8.6140845597,8.7326354564,8.878754245,8.5690683592,8.5936127486,8.6894250203,8.65361463,8.5843994841,PBC,-0.4992898575
otq,otq-x-bible.csv,8.5804295653,8.6413978577,8.8082974735,9.0078036964,8.5805454147,8.606126769,8.757999989,8.7010694368,8.590788259,PBC,-0.4937664111
eng,eng-x-bible-newreaders.csv,8.5796581409,8.6213520276,8.7218710447,8.8501621508,8.57976218,8.6027111743,8.6784331482,8.6502970031,8.5907952162,PBC,-0.4937603962
eng,eng-x-bible-darby.csv,8.5888200044,8.6542750784,8.8324029903,9.044779191,8.5889355895,8.6144675067,8.7827356309,8.7176792803,8.5958703914,PBC,-0.4893726288
cnw,cnw-x-bible.csv,8.5891784023,8.6531042195,8.8283766667,9.0369690215,8.5892946342,8.6149640549,8.7739170401,8.716119244,8.5970496156,PBC,-0.4883531248
nij,nij-x-bible.csv,8.5867196825,8.6325973848,8.7487999562,8.8937907365,8.5868279463,8.6107117487,8.703998171,8.6692311832,8.5988307523,PBC,-0.4868132344
gun,gun-x-bible.csv,8.5898764803,8.6503398295,8.8135825905,9.0097543033,8.5899910577,8.615292617,8.7652039483,8.7076107522,8.5988538497,PBC,-0.4867932654
mmo,mmo-x-bible.csv,8.5894092509,8.6370614681,8.760370214,8.9127488553,8.5895194175,8.6138238593,8.71488447,8.6773459921,8.603187511,PBC,-0.4830465774
blz,blz-x-bible.csv,8.5949681323,8.6629334957,8.8501220989,9.0716730875,8.5950850005,8.6209016228,8.7967651667,8.730806527,8.6036178145,PBC,-0.4826745565
arn,arn-x-bible.csv,8.5952384314,8.6930098743,8.9839266092,9.3080583282,8.5953648894,8.6233222514,8.938211647,8.8114028641,8.6041887236,PBC,-0.4821809742
smk,smk-x-bible.csv,8.6004264353,8.666559576,8.8470223585,9.0616886672,8.6005423551,8.6261477022,8.7942845862,8.7311268588,8.6078507885,PBC,-0.4790149182
gde,gde-x-bible.csv,8.6002833699,8.6541968836,8.7963346356,8.9696613116,8.6003955091,8.6251476137,8.7460915529,8.7022105894,8.6110551801,PBC,-0.4762445459
mzl,mzl-x-bible-2005.csv,8.6093028764,8.7257427932,9.0691096411,9.4449941851,8.6094298066,8.6375049972,9.0390751078,8.8661264279,8.6138959271,PBC,-0.4737885642
ace,ace-x-bible.csv,8.6061193241,8.6595423214,8.7996635019,8.9709514913,8.6062309788,8.6308762279,8.7512581779,8.7064900005,8.617850729,PBC,-0.470369421
cha,cha-x-bible-2010.csv,8.6131261516,8.7053720725,8.9692556529,9.2690794622,8.6132483162,8.6402562882,8.9183889262,8.8077550381,8.6183667587,PBC,-0.469923285
tzo,tzo-x-bible-zinacantan.csv,8.6166766752,8.6943513762,8.9092330437,9.1603345764,8.6167946343,8.6428633961,8.8581678701,8.7734192946,8.6221008912,PBC,-0.4666949226
mhy,mhy-x-bible.csv,8.6112280655,8.6636411763,8.7999040969,8.9671457496,8.6113389157,8.6358053038,8.7513546746,8.7086739005,8.6232343519,PBC,-0.4657149836
ake,ake-x-bible.csv,8.6134802445,8.6783005326,8.8560263204,9.0672862983,8.6135965455,8.6392824885,8.8024105919,8.7422667257,8.6237070177,PBC,-0.4653063381
eng,eng-x-bible-contemporary.csv,8.6175806553,8.6605441136,8.7635435579,8.8949725884,8.6176843814,8.6405671117,8.7214802671,8.689989423,8.6284129806,PBC,-0.461237775
pwg,pwg-x-bible.csv,8.6240628846,8.6873827699,8.8580452713,9.0623325172,8.6241775903,8.6495100648,8.8060870705,8.7474007078,8.6317036274,PBC,-0.4583928303
snn,snn-x-bible-2009.csv,8.6231027121,8.695006633,8.8989075908,9.1363933721,8.6232226783,8.6497225451,8.8448211836,8.772120867,8.6322837234,PBC,-0.4578913055
afr,afr-x-bible-lewende.csv,8.6234715701,8.6902250697,8.8734527599,9.0906914046,8.6235881012,8.6493276817,8.8205319878,8.7563820986,8.6335156851,PBC,-0.456826207
cha,cha-x-bible-1908.csv,8.634060463,8.725974564,8.9868440296,9.2840295641,8.6341818739,8.6610233246,8.9373403336,8.8262998048,8.6393201774,PBC,-0.451807905
cce,cce-x-bible.csv,8.6302920468,8.6924144952,8.85829171,9.057826371,8.6304058227,8.6555329376,8.8078494436,8.7499127147,8.6403525345,PBC,-0.4509153756
glv,glv-x-bible.csv,8.6356704904,8.6872324111,8.8173777291,8.978845316,8.635778852,8.6596974187,8.769148493,8.7283193078,8.6449520259,PBC,-0.4469388629
rwo,rwo-x-bible-rawa.csv,8.6377478097,8.6968838794,8.8548119422,9.0452552303,8.6378614623,8.6629545737,8.803615571,8.75155983,8.6472491731,PBC,-0.4449528532
ubr,ubr-x-bible.csv,8.643850983,8.7152932414,8.9104163774,9.1407798172,8.6439674269,8.6696937366,8.8590875529,8.7856602411,8.6497129623,PBC,-0.4428227722
eng,eng-x-bible-goodnews.csv,8.6409517391,8.6905515946,8.8143506302,8.9688874733,8.6410590659,8.6647465572,8.7681399906,8.7288480671,8.6512155718,PBC,-0.4415236839
chz,chz-x-bible.csv,8.6424977733,8.6924294486,8.8189348348,8.9759282051,8.6426063563,8.6665692353,8.7732935402,8.7325563826,8.6550136698,PBC,-0.4382400198
ozm,ozm-x-bible.csv,8.6501874529,8.706914222,8.8543078207,9.0342221847,8.6502985838,8.6748341562,8.8044771408,8.7558644613,8.6603527101,PBC,-0.4336241265
amm,amm-x-bible.csv,8.6578962866,8.7312861833,8.9340584133,9.1717810482,8.6580139778,8.6840155633,8.880804276,8.8057271687,8.6649080687,PBC,-0.4296857691
tgl,tgl-x-bible-1996.csv,8.6604895397,8.7350480194,8.9381500693,9.1773003887,8.6606059578,8.6863307445,8.8867183209,8.8082533031,8.6674218227,PBC,-0.4275124908
ssd,ssd-x-bible.csv,8.6571789044,8.7142230663,8.8645151847,9.0469332681,8.6572912751,8.6820984616,8.8179361319,8.7652143045,8.6678544149,PBC,-0.4271384911
mlp,mlp-x-bible.csv,8.6579120925,8.7112773821,8.8473591421,9.0151125725,8.658021465,8.6821638693,8.7973837245,8.7550858457,8.6680817218,PBC,-0.4269419718
fil,fil-x-bible-2005.csv,8.6634566242,8.7386931705,8.9436603226,9.1847853362,8.6635731061,8.6893125472,8.8906728209,8.8126390532,8.6702974299,PBC,-0.4250263706
xtd,xtd-x-bible.csv,8.6626194615,8.7169513567,8.8565286358,9.0279036348,8.6627295349,8.6870269742,8.8072926718,8.7624735075,8.6721066853,PBC,-0.4234621701
dad,dad-x-bible.csv,8.6628504476,8.7112240124,8.8328290615,8.9842168942,8.6629583851,8.6867731824,8.7876032494,8.7493470586,8.6761451325,PBC,-0.4199707109
cha,cha-x-bible-2003.csv,8.6748154674,8.7561978946,8.9829563967,9.2457093593,8.674934475,8.7012354724,8.9300088286,8.8408848065,8.68243974,PBC,-0.4145286774
mog,mog-x-bible.csv,8.6725276693,8.7464513632,8.95153013,9.1914885583,8.6726457657,8.6987371774,8.8981453674,8.8221539577,8.6832650884,PBC,-0.4138151184
tzo,tzo-x-bible-1997.csv,8.679253026,8.7577356362,8.9724708044,9.223687796,8.6793701509,8.7052541704,8.9185347672,8.8359164908,8.6860664244,PBC,-0.4113932097
jvn,jvn-x-bible.csv,8.6778364666,8.7279412654,8.8524901704,9.0079199119,8.6779435693,8.7015808533,8.8055572304,8.7663139824,8.6904307057,PBC,-0.4076200491
ian,ian-x-bible.csv,8.6860008428,8.7457716984,8.9044673626,9.0957679467,8.6861141422,8.7111280503,8.8499534314,8.8004510404,8.6969401603,PBC,-0.4019922685
lwo,lwo-x-bible.csv,8.6870741418,8.7381744001,8.866966258,9.0266732769,8.6871824515,8.7110857788,8.8210838913,8.7788337502,8.7000621423,PBC,-0.3992931437
eng,eng-x-bible-livingoracles.csv,8.695903715,8.7582714216,8.9211094305,9.1181776133,8.6960156532,8.7207378479,8.8718207536,8.8130941321,8.7050899793,PBC,-0.3949463028
eng,eng-x-bible-books.csv,8.6964936853,8.7538119593,8.900408979,9.080101064,8.6966035606,8.7208641271,8.852083529,8.8014342624,8.706781428,PBC,-0.3934839526
yut,yut-x-bible.csv,8.6984287593,8.752616385,8.8878357501,9.055476889,8.6985364691,8.7223144377,8.8366897027,8.7947819458,8.7077267777,PBC,-0.3926666459
dah,dah-x-bible.csv,8.6945290638,8.7376944994,8.8418328358,8.9738936233,8.6946335306,8.7176702348,8.7987844669,8.7680518709,8.708688492,PBC,-0.3918351911
ann,ann-x-bible.csv,8.6971557506,8.7586145593,8.9216612998,9.1179422564,8.6972690656,8.7222902549,8.8726592573,8.8147942022,8.7089539564,PBC,-0.3916056826
zia,zia-x-bible.csv,8.6961723897,8.7464935928,8.8746627444,9.0329998538,8.6962815846,8.7203747428,8.8273567086,8.7876746373,8.7115534472,PBC,-0.3893582802
mav,mav-x-bible.csv,8.7012681394,8.7556144616,8.8953866891,9.0667543166,8.7013783747,8.7257094687,8.8460718251,8.80136207,8.7142833328,PBC,-0.3869981443
hau,hau-x-bible.csv,8.7057985974,8.7647038359,8.9174304436,9.1032586681,8.7059097812,8.7304587026,8.8707138087,8.8155059164,8.716021188,PBC,-0.3854956732
rwo,rwo-x-bible-karo.csv,8.7135334283,8.7752663491,8.937673948,9.1335671434,8.7136460784,8.7385208,8.8860746766,8.830641853,8.7232312983,PBC,-0.3792621372
aon,aon-x-bible.csv,8.7168549074,8.7916874992,8.9957758234,9.235333036,8.7169716238,8.7427586762,8.9406100338,8.8656583675,8.7250608875,PBC,-0.377680357
quc,quc-x-bible-joyabaj.csv,8.7141310265,8.7706702452,8.9177585329,9.0968023202,8.7142424233,8.7388312038,8.8659928099,8.8198158135,8.7259700005,PBC,-0.3768943789
pam,pam-x-bible.csv,8.7191326612,8.7827987933,8.9486975025,9.1491142128,8.7192445822,8.7439634474,8.8998764572,8.8386585692,8.7286121755,PBC,-0.3746100737
toh,toh-x-bible.csv,8.7205426757,8.7846560433,8.9505062838,9.1512760746,8.720654005,8.745243662,8.8986925862,8.8399299966,8.7295938871,PBC,-0.3737613301
eng,eng-x-bible-new2007.csv,8.7197267323,8.7800602389,8.9353764841,9.1245724123,8.7198373821,8.744272379,8.8879533969,8.8312261885,8.7297658356,PBC,-0.3736126712
chq,chq-x-bible.csv,8.7235013227,8.8068169613,9.0402047771,9.3089472232,8.7236211311,8.7500971506,8.9804858313,8.8949894734,8.7326799623,PBC,-0.3710932488
tem,tem-x-bible.csv,8.7237689062,8.7861654667,8.9505281644,9.148459201,8.7238817415,8.7487974306,8.8959622036,8.8423856362,8.734905678,PBC,-0.3691689955
dww,dww-x-bible.csv,8.7263664678,8.7868875248,8.943151517,9.1330793553,8.7264774529,8.7509844148,8.891416991,8.8386938978,8.7356854624,PBC,-0.3684948291
usp,usp-x-bible.csv,8.7273467215,8.7891084962,8.9518368395,9.1478875851,8.7274595475,8.7523717798,8.8978541328,8.8447709967,8.7392857134,PBC,-0.3653822146
zty,zty-x-bible.csv,8.7307036208,8.7965193686,8.9712003116,9.1802319879,8.7308173238,8.7559294525,8.9185091277,8.8570871192,8.7409041647,PBC,-0.3639829746
mos,mos-x-bible-catholic.csv,8.7331682269,8.8078276952,9.0073496534,9.2432284459,8.7332831128,8.7586677749,8.951234415,8.8782265702,8.7409649013,PBC,-0.3639304645
sll,sll-x-bible.csv,8.7295426249,8.7724339484,8.8749565221,9.005298133,8.7296464237,8.7525339328,8.8326968299,8.8018716351,8.7455305754,PBC,-0.3599831887
eng,eng-x-bible-newinternational.csv,8.7371583481,8.7951835426,8.941880811,9.1220827533,8.7372673777,8.761341977,8.8945355754,8.8421168014,8.7473433247,PBC,-0.3584159675
kue,kue-x-bible.csv,8.7375154037,8.78630735,8.9049742138,9.0540208767,8.7376208665,8.7608902721,8.8563813446,8.8216641757,8.7494342025,PBC,-0.3566082889
eng,eng-x-bible-montgomery.csv,8.7435078953,8.807015331,8.9723126036,9.1719703273,8.7436197575,8.7683242884,8.9231008104,8.8626415049,8.7536835925,PBC,-0.3529344581
mox,mox-x-bible.csv,8.7450047318,8.8098827278,8.9811683129,9.1866358877,8.7451179421,8.7701197643,8.9298694749,8.8688285442,8.7555655532,PBC,-0.3513073999
