lang	nativeCountryArea	complexity	logpop2	lat	lon	missing	propPresent	complexityCentered
Mulao	Asia	-1	4.69897	25.00	108.00	21	0.12500	-0.33333
Nancowry	Asia	-1	3.34242	8.05	93.50	21	0.12500	-0.33333
Nar-Phu	Asia	-1	2.72673	28.67	84.25	19	0.20833	-0.20000
Nepali	Asia	-1	7.23576	28.00	85.00	17	0.29167	-0.14286
Paulohi	Asia	-1	1.69897	-3.25	128.75	19	0.20833	-0.20000
Purki	Asia	-1	5.12057	34.67	76.00	18	0.25000	-0.16667
Qiang	Asia	-1	4.91009	32.00	102.67	20	0.16667	-0.25000
Rukai	Asia	-1	4.02296	22.83	120.83	17	0.29167	-0.14286
Santali	Asia	-1	6.78932	24.50	87.00	19	0.20833	-0.20000
Sapuan	Asia	-1	3.38021	15.17	106.83	21	0.12500	-0.33333
Shina	Asia	-1	5.50651	36.00	74.00	20	0.16667	-0.25000
Sko	Asia	-1	2.84510	-2.67	140.92	22	0.08333	-0.50000
Sre	Asia	-1	5.10966	11.50	108.00	20	0.16667	-0.25000
Svan	Asia	-1	4.17609	43.00	42.50	22	0.08333	-0.50000
Tajik	Asia	-1	6.64150	38.67	70.00	18	0.25000	-0.16667
Tamil	Asia	-1	7.81968	11.00	78.50	14	0.41667	-0.10000
Tboli	Asia	-1	4.97920	6.17	124.50	19	0.20833	-0.20000
Temiar	Asia	-1	4.06420	5.00	101.50	17	0.29167	-0.14286
Thulung	Asia	-1	4.52261	27.42	86.50	21	0.12500	-0.33333
Timugon	Asia	-1	4.08271	5.00	116.00	20	0.16667	-0.25000
Tobelo	Asia	-1	4.44279	1.50	128.50	19	0.20833	-0.20000
Toratán	Asia	-1	4.47712	1.08	124.83	21	0.12500	-0.33333
Tsou	Asia	-1	3.32777	23.50	120.75	18	0.25000	-0.16667
Tsova-Tush	Asia	-1	3.53403	42.50	45.50	17	0.29167	-0.14286
Tugun	Asia	-1	3.07918	-7.72	126.75	21	0.12500	-0.33333
Tulu	Asia	-1	6.28981	12.75	75.33	20	0.16667	-0.25000
Udi	Asia	-1	3.75740	41.00	48.00	19	0.20833	-0.20000
Uma	Asia	-1	4.30103	-1.83	120.00	17	0.29167	-0.14286
Wakhi	Asia	-1	4.50059	36.50	72.00	20	0.16667	-0.25000
Warembori	Asia	-1	2.77815	-1.67	137.58	21	0.12500	-0.33333
Wolio	Asia	-1	4.53818	-5.50	122.75	20	0.16667	-0.25000
Yawa	Asia	-1	3.77815	-1.75	136.25	18	0.25000	-0.16667
Alawa	Australia and Oceania	-1	1.69897	-15.17	134.25	16	0.33333	-0.12500
Alyawarra	Australia and Oceania	-1	3.17609	-22.50	135.00	17	0.29167	-0.14286
Ambulas	Australia and Oceania	-1	4.64345	-3.83	143.00	20	0.16667	-0.25000
Anamuxra	Australia and Oceania	-1	3.09795	-4.67	145.00	20	0.16667	-0.25000
Anem	Australia and Oceania	-1	2.74036	-5.58	149.08	16	0.33333	-0.12500
Arabana	Australia and Oceania	-1	1.69897	-28.25	136.25	18	0.25000	-0.16667
Araki	Australia and Oceania	-1	1.69897	-15.67	166.92	22	0.08333	-0.50000
Arop-Lokep	Australia and Oceania	-1	3.47929	-5.38	147.05	19	0.20833	-0.20000
Atchin	Australia and Oceania	-1	3.77815	-16.00	167.33	21	0.12500	-0.33333
Baining	Australia and Oceania	-1	3.80277	-4.58	152.00	21	0.12500	-0.33333
Balanta	Australia and Oceania	-1	5.59439	12.25	-15.33	21	0.12500	-0.33333
Bandjalang	Australia and Oceania	-1	1.69897	-28.75	153.00	17	0.29167	-0.14286
Banoni	Australia and Oceania	-1	3.00000	-6.42	155.25	20	0.16667	-0.25000
Benabena	Australia and Oceania	-1	4.65321	-6.17	145.50	22	0.08333	-0.50000
Bininj Gun-Wok	Australia and Oceania	-1	3.17926	-12.50	133.75	17	0.29167	-0.14286
Bongu	Australia and Oceania	-1	2.93146	-5.50	145.92	20	0.16667	-0.25000
Buma	Australia and Oceania	-1	1.69897	-11.63	166.83	20	0.16667	-0.25000
Dhargari	Australia and Oceania	-1	1.69897	-23.75	114.92	20	0.16667	-0.25000
Djaru	Australia and Oceania	-1	2.39794	-18.75	128.00	20	0.16667	-0.25000
Dyirbal	Australia and Oceania	-1	1.69897	-17.83	145.58	17	0.29167	-0.14286
Fore	Australia and Oceania	-1	4.23045	-6.75	145.50	21	0.12500	-0.33333
Garrwa	Australia and Oceania	-1	2.30103	-17.08	137.17	21	0.12500	-0.33333
Gela	Australia and Oceania	-1	4.07467	-9.08	160.25	19	0.20833	-0.20000
Gugada	Australia and Oceania	-1	1.69897	-30.00	134.00	20	0.16667	-0.25000
Jabêm	Australia and Oceania	-1	3.31890	-6.58	147.78	18	0.25000	-0.16667
Kaian	Australia and Oceania	-1	2.50786	-4.08	144.75	21	0.12500	-0.33333
Kalkatungu	Australia and Oceania	-1	1.69897	-21.00	139.50	21	0.12500	-0.33333
Kaulong	Australia and Oceania	-1	3.60206	-6.17	149.67	19	0.20833	-0.20000
Kele	Australia and Oceania	-1	2.77815	-2.08	147.08	20	0.16667	-0.25000
Kosraean	Australia and Oceania	-1	3.90309	5.30	163.00	13	0.45833	-0.09091
Kuku-Yalanji	Australia and Oceania	-1	2.84510	-16.00	145.00	20	0.16667	-0.25000
Lenakel	Australia and Oceania	-1	3.81291	-19.45	169.25	18	0.25000	-0.16667
Lewo	Australia and Oceania	-1	2.87506	-16.75	168.33	22	0.08333	-0.50000
Lou	Australia and Oceania	-1	3.00000	-2.38	147.32	20	0.16667	-0.25000
Malakmalak	Australia and Oceania	-1	1.69897	-13.42	130.42	20	0.16667	-0.25000
Maleu	Australia and Oceania	-1	3.71600	-5.72	148.42	20	0.16667	-0.25000
Mangap-Mbula	Australia and Oceania	-1	3.39794	-5.67	148.08	20	0.16667	-0.25000
Mara	Australia and Oceania	-1	1.69897	-15.00	135.17	18	0.25000	-0.16667
Margany	Australia and Oceania	-1	1.69897	-27.00	144.50	19	0.20833	-0.20000
Monumbo	Australia and Oceania	-1	2.61490	-4.25	145.00	22	0.08333	-0.50000
Nabak	Australia and Oceania	-1	4.20412	-6.42	147.00	18	0.25000	-0.16667
Nalik	Australia and Oceania	-1	3.71079	-2.95	151.33	22	0.08333	-0.50000
Ndjébbana	Australia and Oceania	-1	2.00000	-12.17	134.12	19	0.20833	-0.20000
Nelemwa	Australia and Oceania	-1	2.97635	-20.25	164.08	22	0.08333	-0.50000
Ngankikurungkurr	Australia and Oceania	-1	2.43933	-14.00	130.50	20	0.16667	-0.25000
Nyawaygi	Australia and Oceania	-1	1.69897	-19.00	146.17	21	0.12500	-0.33333
Ono	Australia and Oceania	-1	3.74036	-6.17	147.58	21	0.12500	-0.33333
Paakantyi	Australia and Oceania	-1	1.69897	-32.50	142.50	19	0.20833	-0.20000
Pawaian	Australia and Oceania	-1	3.60206	-7.00	145.08	20	0.16667	-0.25000
Roviana	Australia and Oceania	-1	3.99436	-8.25	157.33	19	0.20833	-0.20000
Rumu	Australia and Oceania	-1	3.00000	-7.17	144.25	20	0.16667	-0.25000
Sa'a	Australia and Oceania	-1	4.06141	-9.62	161.45	21	0.12500	-0.33333
Sare	Australia and Oceania	-1	3.21431	-4.50	143.17	19	0.20833	-0.20000
Siar	Australia and Oceania	-1	3.31723	-4.67	152.92	22	0.08333	-0.50000
Sonsorol-Tobi	Australia and Oceania	-1	2.77815	5.33	132.25	20	0.16667	-0.25000
Sulka	Australia and Oceania	-1	3.39794	-5.08	151.92	18	0.25000	-0.16667
Tabare	Australia and Oceania	-1	4.69966	-6.08	145.00	21	0.12500	-0.33333
Tahitian	Australia and Oceania	-1	5.09434	-17.67	-149.58	17	0.29167	-0.14286
Taiof	Australia and Oceania	-1	3.14613	-5.53	154.63	21	0.12500	-0.33333
Takia	Australia and Oceania	-1	4.29268	-4.67	146.00	19	0.20833	-0.20000
Tangga	Australia and Oceania	-1	3.76343	-3.47	153.20	21	0.12500	-0.33333
Teop	Australia and Oceania	-1	3.69897	-5.67	155.00	19	0.20833	-0.20000
Thaayorre	Australia and Oceania	-1	2.17609	-14.58	141.83	21	0.12500	-0.33333
Tok Pisin	Australia and Oceania	-1	5.08279	-9.50	147.17	20	0.16667	-0.25000
Tokelauan	Australia and Oceania	-1	3.51081	-9.00	-172.00	20	0.16667	-0.25000
Toqabaqita	Australia and Oceania	-1	4.09940	-8.42	160.58	21	0.12500	-0.33333
Tuvaluan	Australia and Oceania	-1	4.11564	-8.50	179.17	19	0.20833	-0.20000
Wahgi	Australia and Oceania	-1	4.67210	-5.83	144.72	19	0.20833	-0.20000
Wallisian	Australia and Oceania	-1	4.47375	-13.30	-176.20	22	0.08333	-0.50000
Walman	Australia and Oceania	-1	3.24055	-3.22	142.50	20	0.16667	-0.25000
Warrgamay	Australia and Oceania	-1	1.69897	-18.58	146.08	18	0.25000	-0.16667
Watjarri	Australia and Oceania	-1	1.69897	-26.00	117.50	18	0.25000	-0.16667
Worora	Australia and Oceania	-1	1.69897	-15.67	124.67	18	0.25000	-0.16667
Yagaria	Australia and Oceania	-1	4.32461	-6.33	145.42	15	0.37500	-0.11111
Yelî Dnye	Australia and Oceania	-1	3.57403	-11.37	154.17	16	0.33333	-0.12500
Yuwaalaraay	Australia and Oceania	-1	1.69897	-29.50	148.00	18	0.25000	-0.16667
Abaza	Eurasia	-1	4.65220	44.00	42.00	21	0.12500	-0.33333
Aghul	Eurasia	-1	4.24067	41.75	47.67	20	0.16667	-0.25000
Archi	Eurasia	-1	3.00000	42.00	46.83	17	0.29167	-0.14286
Bagvalal	Eurasia	-1	3.30103	42.58	46.17	20	0.16667	-0.25000
Bezhta	Eurasia	-1	3.47712	42.08	46.17	21	0.12500	-0.33333
Buriat	Eurasia	-1	4.81224	52.00	108.00	15	0.37500	-0.11111
Dargwa	Eurasia	-1	5.56994	42.25	47.42	19	0.20833	-0.20000
Kabardian	Eurasia	-1	6.00518	43.50	43.50	16	0.33333	-0.12500
Komi-Permyak	Eurasia	-1	5.06446	59.50	54.50	19	0.20833	-0.20000
Komi-Zyrian	Eurasia	-1	5.41863	62.00	50.00	20	0.16667	-0.25000
Kumyk	Eurasia	-1	5.45110	43.00	47.33	20	0.16667	-0.25000
Noghay	Eurasia	-1	4.83127	44.00	46.00	19	0.20833	-0.20000
Rutul	Eurasia	-1	4.30343	41.50	47.42	18	0.25000	-0.16667
Tsakhur	Eurasia	-1	4.30261	41.67	47.17	20	0.16667	-0.25000
Tsez	Eurasia	-1	3.84510	42.25	45.75	20	0.16667	-0.25000
Votic	Eurasia	-1	1.69897	59.50	30.00	21	0.12500	-0.33333
Cornish	Europe	-1	2.69897	50.33	-5.00	18	0.25000	-0.16667
Frisian	Europe	-1	4.04139	53.00	5.00	19	0.20833	-0.20000
Achumawi	North America	-1	1.69897	41.50	-121.00	20	0.16667	-0.25000
Atakapa	North America	-1	1.69897	30.00	-93.50	17	0.29167	-0.14286
Biloxi	North America	-1	1.69897	30.50	-88.67	18	0.25000	-0.16667
Blackfoot	North America	-1	3.70757	50.00	-112.67	17	0.29167	-0.14286
Chemehuevi	North America	-1	3.29754	34.33	-115.17	17	0.29167	-0.14286
Cherokee	North America	-1	4.17609	35.50	-83.50	18	0.25000	-0.16667
Cheyenne	North America	-1	3.23578	43.50	-104.00	21	0.12500	-0.33333
Chichimeca-Jonaz	North America	-1	2.30103	21.67	-100.50	22	0.08333	-0.50000
Chimariko	North America	-1	1.69897	41.00	-123.00	19	0.20833	-0.20000
Chinantec (Quiotepec)	North America	-1	3.90309	17.58	-96.67	20	0.16667	-0.25000
Choctaw	North America	-1	3.96431	32.25	-88.50	18	0.25000	-0.16667
Chumash (Barbareño)	North America	-1	1.69897	34.50	-120.25	18	0.25000	-0.16667
Coeur d'Alene	North America	-1	1.69897	47.25	-116.50	20	0.16667	-0.25000
Cree (Eastern)	North America	-1	3.86368	51.00	-74.00	20	0.16667	-0.25000
Garífuna	North America	-1	5.28324	15.67	-88.00	17	0.29167	-0.14286
Hualapai	North America	-1	3.43024	35.50	-113.75	19	0.20833	-0.20000
Huave (San Mateo del Mar)	North America	-1	4.07918	16.22	-95.00	18	0.25000	-0.16667
Hupa	North America	-1	1.69897	41.08	-123.67	19	0.20833	-0.20000
Inuktitut (Salluit)	North America	-1	4.14613	62.00	-76.00	21	0.12500	-0.33333
Kalispel	North America	-1	2.30103	48.00	-117.00	20	0.16667	-0.25000
Klamath	North America	-1	1.69897	42.50	-121.50	17	0.29167	-0.14286
Mixe (Coatlán)	North America	-1	3.69897	16.92	-95.67	19	0.20833	-0.20000
Mixtec (Ayutla)	North America	-1	3.92942	16.92	-99.17	22	0.08333	-0.50000
Mixtec (Coatzospan)	North America	-1	3.69897	18.08	-96.58	22	0.08333	-0.50000
Mixtec (Jicaltepec)	North America	-1	4.30103	16.33	-98.00	19	0.20833	-0.20000
Mixtec (Ocotepec)	North America	-1	3.69897	17.17	-97.75	19	0.20833	-0.20000
Montagnais	North America	-1	3.92855	52.00	-65.00	20	0.16667	-0.25000
Munsee	North America	-1	1.69897	41.50	-74.67	22	0.08333	-0.50000
Nahuatl (Huasteca)	North America	-1	5.61278	22.00	-99.00	19	0.20833	-0.20000
Nuuchahnulth	North America	-1	2.30103	49.67	-126.67	20	0.16667	-0.25000
Ojibwa (Eastern)	North America	-1	4.41305	46.00	-80.00	20	0.16667	-0.25000
Osage	North America	-1	1.69897	37.00	-94.00	21	0.12500	-0.33333
Pima Bajo	North America	-1	3.00000	29.00	-111.00	18	0.25000	-0.16667
Popoloca (San Juan Atzingo)	North America	-1	3.69897	18.17	-96.42	18	0.25000	-0.16667
Salinan	North America	-1	1.69897	36.00	-121.00	14	0.41667	-0.10000
Sarcee	North America	-1	1.69897	52.50	-116.00	17	0.29167	-0.14286
Sayultec	North America	-1	3.60206	17.83	-95.00	22	0.08333	-0.50000
Seneca	North America	-1	2.24304	42.50	-77.50	21	0.12500	-0.33333
Seri	North America	-1	2.90309	29.00	-112.00	18	0.25000	-0.16667
Tarahumara (Central)	North America	-1	4.74036	27.50	-107.50	21	0.12500	-0.33333
Tepehua	North America	-1	3.47712	20.83	-98.17	19	0.20833	-0.20000
Tepehuan (Northern)	North America	-1	3.90309	26.33	-107.00	11	0.54167	-0.07692
Tillamook	North America	-1	1.69897	45.33	-123.75	22	0.08333	-0.50000
Tiwa (Southern)	North America	-1	3.21245	35.00	-106.33	22	0.08333	-0.50000
Tojolabal	North America	-1	4.55630	16.33	-91.50	21	0.12500	-0.33333
Tonkawa	North America	-1	1.69897	30.25	-96.75	11	0.54167	-0.07692
Tsimshian (Coast)	North America	-1	2.90309	52.50	-129.00	9	0.62500	-0.06667
Tuscarora	North America	-1	1.69897	36.00	-77.50	17	0.29167	-0.14286
Yucatec	North America	-1	5.84510	20.00	-89.00	21	0.12500	-0.33333
Yuchi	North America	-1	1.69897	35.75	-86.75	11	0.54167	-0.07692
Zapotec (Isthmus)	North America	-1	4.92942	16.33	-94.17	18	0.25000	-0.16667
Zapotec (San Lucas Quiaviní)	North America	-1	4.45484	16.90	-96.47	18	0.25000	-0.16667
Zapotec (Yatzachi)	North America	-1	3.39794	17.20	-96.20	21	0.12500	-0.33333
Zoque (Chimalapa)	North America	-1	3.65321	16.75	-94.75	20	0.16667	-0.25000
Zoque (Soteapan)	North America	-1	4.47712	18.33	-95.17	20	0.16667	-0.25000
Aguaruna	South America	-1	4.58309	-5.00	-78.00	22	0.08333	-0.50000
Amahuaca	South America	-1	2.49136	-10.50	-72.50	18	0.25000	-0.16667
Amuesha	South America	-1	3.99260	-10.50	-75.42	17	0.29167	-0.14286
Apinayé	South America	-1	2.90309	-5.50	-48.00	19	0.20833	-0.20000
Arawak	South America	-1	3.38917	5.50	-55.17	13	0.45833	-0.09091
Baure	South America	-1	1.69897	-13.08	-64.17	18	0.25000	-0.16667
Cayapa	South America	-1	3.53782	0.67	-79.00	20	0.16667	-0.25000
Chorote	South America	-1	3.30276	-22.50	-62.50	22	0.08333	-0.50000
Damana	South America	-1	3.50853	11.00	-73.50	21	0.12500	-0.33333
Gününa Küne	South America	-1	1.69897	-41.00	-67.00	20	0.16667	-0.25000
Huitoto (Minica)	South America	-1	3.23172	-0.33	-74.00	12	0.50000	-0.08333
Huitoto (Muinane)	South America	-1	2.00000	-2.42	-71.00	21	0.12500	-0.33333
Jaqaru	South America	-1	2.86688	-13.00	-76.00	16	0.33333	-0.12500
Jebero	South America	-1	3.39794	-5.42	-76.50	17	0.29167	-0.14286
Jivaro	South America	-1	4.66903	-2.50	-78.00	19	0.20833	-0.20000
Kadiwéu	South America	-1	3.07918	-20.00	-57.00	19	0.20833	-0.20000
Kaingang	South America	-1	4.25527	-26.00	-52.00	21	0.12500	-0.33333
Kamaiurá	South America	-1	2.44560	-12.00	-52.67	18	0.25000	-0.16667
Karitiâna	South America	-1	2.30103	-9.50	-64.00	18	0.25000	-0.16667
Karó (Arára)	South America	-1	2.17609	-10.33	-62.00	18	0.25000	-0.16667
Machiguenga	South America	-1	4.00642	-12.00	-72.67	21	0.12500	-0.33333
Matis	South America	-1	2.07918	-4.42	-70.25	19	0.20833	-0.20000
Movima	South America	-1	3.16197	-13.83	-65.67	21	0.12500	-0.33333
Mundurukú	South America	-1	3.84510	-7.00	-58.00	20	0.16667	-0.25000
Nadëb	South America	-1	2.47712	-1.00	-66.50	17	0.29167	-0.14286
Nambikuára	South America	-1	3.06070	-13.00	-59.00	16	0.33333	-0.12500
Páez	South America	-1	4.85370	2.67	-76.00	18	0.25000	-0.16667
Pemon	South America	-1	3.78916	5.33	-62.00	22	0.08333	-0.50000
Piaroa	South America	-1	4.08207	5.00	-67.00	19	0.20833	-0.20000
Pilagá	South America	-1	3.30103	-25.00	-60.00	18	0.25000	-0.16667
Piro	South America	-1	3.60206	-11.00	-73.00	20	0.16667	-0.25000
Quechua (Cochabamba)	South America	-1	6.56080	-17.50	-66.00	21	0.12500	-0.33333
Resígaro	South America	-1	1.69897	-2.42	-71.50	18	0.25000	-0.16667
Sáliba (in Colombia)	South America	-1	3.19173	6.00	-70.00	21	0.12500	-0.33333
Shiriana	South America	-1	2.75282	3.50	-62.83	20	0.16667	-0.25000
Sirionó	South America	-1	2.60097	-15.58	-64.00	18	0.25000	-0.16667
Tariana	South America	-1	2.00000	1.00	-69.17	16	0.33333	-0.12500
Tunebo	South America	-1	1.69897	6.75	-72.25	22	0.08333	-0.50000
Wayana	South America	-1	2.87332	3.25	-54.17	22	0.08333	-0.50000
Xavante	South America	-1	4.00000	-15.00	-52.50	19	0.20833	-0.20000
Yahgan	South America	-1	1.69897	-55.00	-68.00	22	0.08333	-0.50000
!Xóõ	Africa	0	3.62325	-24.00	21.50	21	0.12500	0.00000
/Xam	Africa	0	1.69897	-31.00	21.00	22	0.08333	0.00000
Acholi	Africa	0	5.89861	3.00	32.67	20	0.16667	0.00000
Amo	Africa	0	4.08860	10.33	8.67	19	0.20833	0.00000
Angolar	Africa	0	3.69897	0.25	6.50	22	0.08333	0.00000
Anyi	Africa	0	5.93450	7.00	-3.50	22	0.08333	0.00000
Arabic (Abbéché Chad)	Africa	0	5.99396	13.83	20.83	22	0.08333	0.00000
Arabic (Tunisian)	Africa	0	6.96604	36.75	10.25	21	0.12500	0.00000
Babole	Africa	0	3.60206	1.08	17.25	22	0.08333	0.00000
Bade	Africa	0	5.39794	12.83	10.50	22	0.08333	0.00000
Bafut	Africa	0	4.69897	6.25	9.92	22	0.08333	0.00000
Baka (in Sudan)	Africa	0	4.41996	4.83	29.25	21	0.12500	0.00000
Bakueri	Africa	0	4.50786	4.25	9.25	21	0.12500	0.00000
Bakundu	Africa	0	5.02524	4.83	9.33	22	0.08333	0.00000
Bankon	Africa	0	4.07918	4.42	9.58	22	0.08333	0.00000
Barambu	Africa	0	4.40773	3.50	27.00	20	0.16667	0.00000
Basaá	Africa	0	5.36173	3.92	10.50	22	0.08333	0.00000
Baule	Africa	0	6.32838	7.00	-5.00	21	0.12500	0.00000
Benga	Africa	0	3.47712	1.17	9.42	22	0.08333	0.00000
Berber (Chaouia)	Africa	0	6.14613	35.00	7.00	22	0.08333	0.00000
Berber (Mzab)	Africa	0	4.84510	32.50	3.50	22	0.08333	0.00000
Bidiya	Africa	0	4.14613	11.92	18.75	20	0.16667	0.00000
Bira	Africa	0	5.07918	1.00	28.75	21	0.12500	0.00000
Birri	Africa	0	2.30103	5.50	25.17	22	0.08333	0.00000
Bobangi	Africa	0	5.07464	-1.33	17.33	21	0.12500	0.00000
Bolia	Africa	0	5.00000	-1.25	18.33	22	0.08333	0.00000
Bongo	Africa	0	4.00363	7.50	28.50	19	0.20833	0.00000
Buduma	Africa	0	4.73878	13.50	14.50	18	0.25000	0.00000
Bukusu	Africa	0	5.75205	0.75	34.67	22	0.08333	0.00000
Bushoong	Africa	0	5.19072	-4.50	21.50	20	0.16667	0.00000
Chai	Africa	0	4.31433	5.33	35.33	20	0.16667	0.00000
Chichewa	Africa	0	6.97079	-14.00	34.00	20	0.16667	0.00000
Degema	Africa	0	4.00000	4.75	6.75	22	0.08333	0.00000
Dhaasanac	Africa	0	4.53862	4.67	36.33	21	0.12500	0.00000
Doko	Africa	0	5.17609	3.00	23.08	22	0.08333	0.00000
Dongo	Africa	0	4.11059	3.00	30.00	20	0.16667	0.00000
Duala	Africa	0	4.94300	4.00	9.42	22	0.08333	0.00000
Duka	Africa	0	4.86332	11.17	5.08	20	0.16667	0.00000
Ebira	Africa	0	6.00000	8.17	7.00	22	0.08333	0.00000
Efik	Africa	0	5.60206	4.92	8.50	21	0.12500	0.00000
Ekoti	Africa	0	4.80754	-16.50	39.50	22	0.08333	0.00000
Enya	Africa	0	4.17609	-4.75	26.75	21	0.12500	0.00000
Fula (Cameroonian)	Africa	0	5.94778	9.17	13.50	18	0.25000	0.00000
Ga'anda	Africa	0	4.63347	10.33	12.58	21	0.12500	0.00000
Gamo	Africa	0	6.09224	6.67	37.25	21	0.12500	0.00000
Gimira	Africa	0	5.23951	7.00	35.75	19	0.20833	0.00000
Gumuz	Africa	0	5.20527	12.50	35.83	20	0.16667	0.00000
Haya	Africa	0	6.07918	-2.00	31.50	19	0.20833	0.00000
Hdi	Africa	0	4.46240	11.87	13.72	22	0.08333	0.00000
Hehe	Africa	0	5.87506	-8.00	36.00	22	0.08333	0.00000
Hemba	Africa	0	5.25758	-6.25	27.17	22	0.08333	0.00000
Holoholo	Africa	0	4.19033	-5.17	29.92	22	0.08333	0.00000
Hunde	Africa	0	5.30103	-1.17	28.83	18	0.25000	0.00000
Ifumu	Africa	0	3.91116	-3.67	15.33	21	0.12500	0.00000
Igede	Africa	0	5.39794	7.00	8.17	21	0.12500	0.00000
Ik	Africa	0	3.30103	3.75	34.17	18	0.25000	0.00000
Ila	Africa	0	4.78675	-15.58	26.50	20	0.16667	0.00000
Ingessana	Africa	0	4.82715	11.50	34.00	21	0.12500	0.00000
Jur Luwo	Africa	0	4.90309	8.00	28.00	21	0.12500	0.00000
Kabiyé	Africa	0	5.86332	9.67	1.17	21	0.12500	0.00000
Kabyle	Africa	0	6.49457	36.50	5.00	19	0.20833	0.00000
Kaguru	Africa	0	5.33646	-6.33	37.00	21	0.12500	0.00000
Kami	Africa	0	4.21514	-6.75	38.00	22	0.08333	0.00000
Kanembu	Africa	0	5.58998	14.00	15.00	21	0.12500	0.00000
Kara (in Central African Republic)	Africa	0	3.68124	10.00	23.00	19	0.20833	0.00000
Kemant	Africa	0	3.21748	12.67	37.42	21	0.12500	0.00000
Kenyang	Africa	0	4.81291	5.67	9.50	22	0.08333	0.00000
Kilba	Africa	0	5.24304	10.33	13.17	22	0.08333	0.00000
Kiluba	Africa	0	6.17754	-8.00	26.00	20	0.16667	0.00000
Klao	Africa	0	5.28330	4.75	-8.75	21	0.12500	0.00000
Ko (Winye)	Africa	0	4.30103	11.87	-2.92	22	0.08333	0.00000
Konni	Africa	0	3.57978	10.25	-1.58	19	0.20833	0.00000
Kposo	Africa	0	5.21085	7.50	0.83	21	0.12500	0.00000
Kwami	Africa	0	4.00000	10.42	11.00	22	0.08333	0.00000
Kxoe	Africa	0	3.99948	-17.50	22.50	19	0.20833	0.00000
Lagwan	Africa	0	4.00000	11.50	14.83	19	0.20833	0.00000
Lamba	Africa	0	5.33041	-13.00	28.00	22	0.08333	0.00000
Langi	Africa	0	5.54407	-4.50	36.00	22	0.08333	0.00000
Lebeo	Africa	0	4.13316	1.75	25.00	22	0.08333	0.00000
Lega	Africa	0	5.60206	-2.83	27.17	20	0.16667	0.00000
Lendu	Africa	0	5.88081	2.00	30.50	19	0.20833	0.00000
Lobi	Africa	0	5.64473	10.50	-3.25	22	0.08333	0.00000
Logoti	Africa	0	5.32222	3.50	30.00	22	0.08333	0.00000
Lucazi	Africa	0	5.32098	-14.00	20.00	22	0.08333	0.00000
Maale	Africa	0	4.73061	6.00	36.92	21	0.12500	0.00000
Makaa	Africa	0	4.90309	3.42	12.25	22	0.08333	0.00000
Makonde	Africa	0	6.13778	-11.00	40.00	22	0.08333	0.00000
Makua	Africa	0	6.39794	-15.00	38.67	21	0.12500	0.00000
Malgwa	Africa	0	4.63849	11.50	13.75	19	0.20833	0.00000
Mambwe	Africa	0	5.55606	-9.08	31.17	21	0.12500	0.00000
Mamvu	Africa	0	4.77815	3.25	29.00	20	0.16667	0.00000
Mandinka (Gambian)	Africa	0	6.08434	13.42	-16.00	22	0.08333	0.00000
Mangbetu	Africa	0	5.79239	2.50	26.50	20	0.16667	0.00000
Maninka (Western)	Africa	0	5.69484	13.00	-11.00	21	0.12500	0.00000
Masa	Africa	0	5.32653	10.50	15.50	19	0.20833	0.00000
Masakin	Africa	0	4.57978	10.67	30.00	20	0.16667	0.00000
Mba	Africa	0	4.55735	1.00	25.00	20	0.16667	0.00000
Mbalanhu	Africa	0	1.69900	-17.50	15.00	21	0.12500	0.00000
Mbara	Africa	0	3.00000	11.00	15.42	20	0.16667	0.00000
Mbere	Africa	0	5.02482	-0.50	14.00	22	0.08333	0.00000
Mbili	Africa	0	4.00000	6.12	10.20	20	0.16667	0.00000
Mbodomo	Africa	0	5.24797	4.50	15.50	22	0.08333	0.00000
Mbole	Africa	0	5.00000	-0.67	24.67	21	0.12500	0.00000
Mbugu	Africa	0	3.84510	-4.33	38.17	22	0.08333	0.00000
Me'en	Africa	0	4.75270	5.00	37.00	19	0.20833	0.00000
Migama	Africa	0	4.30103	12.17	19.83	22	0.08333	0.00000
Mokilko	Africa	0	4.07918	11.92	18.08	22	0.08333	0.00000
Mondunga	Africa	0	3.39794	2.25	21.50	21	0.12500	0.00000
Mpongwe	Africa	0	4.66972	-1.25	9.50	22	0.08333	0.00000
Mundani	Africa	0	4.53148	5.67	9.92	22	0.08333	0.00000
Mungaka	Africa	0	4.69984	5.92	10.00	20	0.16667	0.00000
Mursi	Africa	0	3.51561	5.58	36.08	20	0.16667	0.00000
Mwera	Africa	0	5.67117	-9.00	39.00	18	0.25000	0.00000
Nande	Africa	0	5.95569	-0.08	29.17	21	0.12500	0.00000
Nara (in Ethiopia)	Africa	0	4.90309	15.08	37.58	21	0.12500	0.00000
Nateni	Africa	0	4.81954	10.50	1.17	22	0.08333	0.00000
Ndogo	Africa	0	4.36816	7.75	27.00	22	0.08333	0.00000
Ngbaka	Africa	0	6.00810	3.50	20.00	21	0.12500	0.00000
Nkem	Africa	0	4.53782	6.58	8.58	22	0.08333	0.00000
Nsenga	Africa	0	5.76649	-14.50	30.83	22	0.08333	0.00000
Ntomba	Africa	0	5.00000	-2.00	18.33	22	0.08333	0.00000
Nubi	Africa	0	4.39338	0.67	32.08	22	0.08333	0.00000
Nuer	Africa	0	5.90575	8.33	32.00	20	0.16667	0.00000
