,X,language,lower.ci,corr,upper.ci,p.corr,mono.cor,open.cor,checked,mean.length
33,33,hmong,0.241750892,0.337944774,0.429024859,0.265001312,0.264025853,0.309608628,no,7.700854701
34,34,hungarian,0.304574877,0.390903826,0.46958648,0.246434954,0.209860631,0.338604762,no,7.344329897
35,35,icelandic,0.336377039,0.421573054,0.497641304,0.282954356,0.334867582,0.367043439,no,6.667431193
36,36,igbo,0.025939718,0.122218318,0.214223456,0.025288945,0.070249084,0.057234208,no,7.513381995
37,37,indonesian,0.217030274,0.303425425,0.38558548,0.187481237,0.202571679,0.255589263,no,7.306889353
38,38,irish,0.24791462,0.335563188,0.421774248,0.219974001,0.27210317,0.296694306,no,7.19
39,39,italian,0.349901468,0.42946793,0.503148114,0.278695629,0.26854984,0.356431677,yes,7.096192385
40,40,japanese,0.01503731,0.107663595,0.194845022,-0.004269927,0.115936829,0.051694017,no,8.713995943
41,41,javanese,0.152248246,0.238677534,0.323800096,0.122728567,0.17013491,0.190633673,no,6.382278481
42,42,kanada,0.120423269,0.212095376,0.314468374,0.080702003,0.150789286,0.172727343,no,19.23373984
43,43,khmer,0.254545182,0.329159327,0.4009855,0.250369492,0.321817381,0.294312806,no,20.91314031
44,44,korean,0.099882431,0.175946116,0.251264314,0.052958746,0.139882955,0.130842675,yes,7.332665331
45,45,lao,0.237629584,0.337086992,0.429256946,0.288350058,0.227478727,0.284936914,no,20.71142857
46,46,latin,0.051823632,0.132764888,0.22524559,0.007654793,0.062764584,0.074084185,no,7.2
47,47,latvian,0.303063178,0.379233079,0.454847703,0.211267575,0.216799597,0.323923674,no,7.454361055
48,48,lithuanian,0.240623984,0.32680553,0.411135068,0.166622615,0.23150167,0.282069173,no,7.721774194
49,49,macedonian,0.408407731,0.483938497,0.553236601,0.369632662,0.3245376,0.468506672,no,12.93103448
50,50,malay,0.183023005,0.268788194,0.351314902,0.166456067,0.154755959,0.249785371,no,7.295652174
51,51,maltese,0.432624785,0.510878313,0.585172039,0.383716192,0.33042151,0.480843931,no,6.746594005
52,52,maori,0.126628073,0.212276126,0.295907454,0.106206451,0.196713379,0.153268288,no,6.224215247
53,53,marathi,-0.027277816,0.046197427,0.131330066,-0.067509273,0.03802786,0.001740517,no,24.07991803
54,54,mongolian,0.260843901,0.341242984,0.417206126,0.223693793,0.218032443,0.295740266,no,14.71491228
55,55,nepali,0.289201826,0.374875824,0.455116979,0.261592386,0.294679849,0.334419123,no,16.02350427
56,56,norwegian,0.443366859,0.521978579,0.596138757,0.395556435,0.372755838,0.483127815,no,6.254854369
57,57,persian,-0.004855897,0.072154253,0.159751519,-0.055005326,0.027726175,0.012656652,yes,11.15151515
58,58,polish,0.287553205,0.368976078,0.447433128,0.255472964,0.194842236,0.332022085,yes,7.153225806
59,59,portuguese,0.371783186,0.451696463,0.525563061,0.330577823,0.292785563,0.402134553,yes,6.833333333
60,60,punjabi,0.199622567,0.298064442,0.391192885,0.209817154,0.176613657,0.249110848,no,14.87529412
61,61,romanian,0.249281837,0.342639278,0.431352369,0.223030432,0.175528694,0.286727853,no,6.929787234
62,62,russian,0.377195189,0.449202464,0.516159431,0.346802597,0.256513132,0.419505068,yes,13.17907445
63,63,serbian,0.375965781,0.452083273,0.52004063,0.313966783,0.287115655,0.415006045,no,12.23541247
64,64,slovak,0.266568206,0.348116332,0.431739045,0.211329557,0.219633389,0.296663628,no,7.04338843
65,65,slovenian,0.258164101,0.373026298,0.486341686,0.263003375,0.270339408,0.315628302,no,6.611111111
66,66,somali,0.104928683,0.182521272,0.262004859,0.109646953,0.177367102,0.172688439,no,8.011792453
67,67,spanish,0.311052712,0.395886944,0.47405378,0.262181678,0.233440038,0.338645961,yes,6.961693548
68,68,swahili,0.228560539,0.320511025,0.411841101,0.222506485,0.202616015,0.285695007,no,6.272959184
69,69,swedish,0.332250399,0.414008054,0.492356627,0.2983807,0.272198328,0.371180321,no,6.247139588
70,70,tamil,0.093287927,0.168881472,0.251721081,-0.0009452,0.10347207,0.127821324,no,24.88732394
71,71,telugu,0.069253195,0.168289451,0.270445108,0.011723266,0.141156077,0.126380109,no,22.2586558
72,72,thai,0.289340176,0.368569803,0.442119207,0.255574067,0.266398402,0.342220542,no,19.8125
73,73,turkish,0.1233875,0.206613543,0.292002509,0.099222086,0.105532156,0.177811542,no,6.82688391
74,74,ukrainian,0.287406437,0.370872167,0.448570665,0.246811328,0.207987682,0.327162296,no,12.93561368
75,75,urdu,0.071935709,0.160483448,0.250852584,0.128024539,0.133203327,0.131005133,no,9.861283644
76,76,vietnamese,0.256908202,0.334961762,0.41067144,0.195191013,0.271135159,0.280984336,yes,9.608961303
77,77,welsh,0.34634609,0.423136802,0.496606845,0.291470977,0.319895904,0.39116793,yes,6.609856263
78,78,yiddish,0.429593621,0.501937634,0.571053401,0.380312483,0.354998549,0.475059683,no,12.87775551
79,79,yoruba,0.111133828,0.20765078,0.303545365,0.113063917,0.180751598,0.161420052,no,6.28277635
80,80,zulu,0.132174647,0.235980046,0.339480414,0.069218512,0.192075448,0.187586204,no,8.365168539
