oldLab,newLab,newLab2,featureName,longFeatureName,Category,Complexity
3,both,both,DRYDEG,Order of Degree Word and Adjective,word order,
1,NumN,NumN,DRYNUM,Order of Numeral and Noun,word order,
2,Nnum,Nnum,DRYNUM,Order of Numeral and Noun,word order,
1,DemN,DemN,DRYDEM,Order of Demonstrative and Noun,word order,
2,Ndem,Ndem,DRYDEM,Order of Demonstrative and Noun,word order,
4,suffix,suffix,DRYDEM,Order of Demonstrative and Noun,word order,
6,multiple,multiple,DRYDEM,Order of Demonstrative and Noun,word order,
1,prefix,some,DRYTAA,Position of Tense-Aspect Affixes,verbal categories,
2,suffix,some,DRYTAA,Position of Tense-Aspect Affixes,verbal categories,
4,combo,some,DRYTAA,Position of Tense-Aspect Affixes,verbal categories,
5,none,none,DRYTAA,Position of Tense-Aspect Affixes,verbal categories,
1,prefix,some,DRYPOS,Position of Pronominal Possessive Affixes,nominal categories,
2,suffix,some,DRYPOS,Position of Pronominal Possessive Affixes,nominal categories,
4,none,none,DRYPOS,Position of Pronominal Possessive Affixes,nominal categories,
1,post,post,DRYADP,Order of Adposition and Noun Phrase,word order,
2,pre,pre,DRYADP,Order of Adposition and Noun Phrase,word order,
4,combo,combo,DRYADP,Order of Adposition and Noun Phrase,word order,
1,Exclusively concatenative,concatenating,BICFUS,Fusion of Selected Inflectional Formatives,morphology,
2,Exclusively isolating,isolating,BICFUS,Fusion of Selected Inflectional Formatives,morphology,
4,Tonal/isolating,isolating,BICFUS,Fusion of Selected Inflectional Formatives,morphology,
6,Ablaut/concatenative,concatenating,BICFUS,Fusion of Selected Inflectional Formatives,morphology,
7,Isolating/concatenative,both,BICFUS,Fusion of Selected Inflectional Formatives,morphology,
1,none,none,MASREC,Reciprocal Constructions,simple clauses,
2,different,some,MASREC,Reciprocal Constructions,simple clauses,
3,both,some,MASREC,Reciprocal Constructions,simple clauses,
4,same,some,MASREC,Reciprocal Constructions,simple clauses,
1,different,some,STACOO,Noun Phrase Conjunction,nominal syntax,
2,same,none,STACOO,Noun Phrase Conjunction,nominal syntax,
1,must have noun,must have noun,GILAWN,Adjectives without Nouns,nominal syntax,
2,"can have no noun, and no marking","can have no noun, and no marking",GILAWN,Adjectives without Nouns,nominal syntax,
5,"can have no noun, obligatorily marked by precediing work","can have no noun, obligatorily marked by precediing work",GILAWN,Adjectives without Nouns,nominal syntax,
6,"can have no noun, obligatorily marked by following work","can have no noun, obligatorily marked by following work",GILAWN,Adjectives without Nouns,nominal syntax,
7,"can have no noun, mixed","can have no noun, mixed",GILAWN,Adjectives without Nouns,nominal syntax,
1,Sym,Sym,MIESYM,Symmetric and Asymmetric Standard Negation,simple clauses,
2,Asym,Asym,MIESYM,Symmetric and Asymmetric Standard Negation,simple clauses,
3,both,both,MIESYM,Symmetric and Asymmetric Standard Negation,simple clauses,
1,Question particle,some,DRYPOQ,Polar Questions,simple clauses,
2,Interrogative verb morphology,some,DRYPOQ,Polar Questions,simple clauses,
4,Interrogative word order,some,DRYPOQ,Polar Questions,simple clauses,
6,Interrogative intonation only,none,DRYPOQ,Polar Questions,simple clauses,
1,identity,identity,STOCIS,Comitatives and Instrumentals,nominal categories,
2,differentation,differentation,STOCIS,Comitatives and Instrumentals,nominal categories,
3,mixed,mixed,STOCIS,Comitatives and Instrumentals,nominal categories,
1,head,some,BICHDN,Locus of Marking in Possessive Noun Phrases,morphology,
2,dependent,some,BICHDN,Locus of Marking in Possessive Noun Phrases,morphology,
3,double,some,BICHDN,Locus of Marking in Possessive Noun Phrases,morphology,
4,none,none,BICHDN,Locus of Marking in Possessive Noun Phrases,morphology,
1,adddive also,some,MORASP,The Associative Plural,nominal categories,
2,bound special,some,MORASP,The Associative Plural,nominal categories,
3,non-bound special,some,MORASP,The Associative Plural,nominal categories,
4,none,none,MORASP,The Associative Plural,nominal categories,
1,same,same,DIEPRO,Pronominal and Adnominal Demonstratives,nominal categories,
2,different stems,different,DIEPRO,Pronominal and Adnominal Demonstratives,nominal categories,
3,different inflections,different,DIEPRO,Pronominal and Adnominal Demonstratives,nominal categories,
1,different,some,DRYIND,Indefinite Articles,nominal categories,
2,numeral,some,DRYIND,Indefinite Articles,nominal categories,
4,definite only,some,DRYIND,Indefinite Articles,nominal categories,
5,niether,none,DRYIND,Indefinite Articles,nominal categories,
1,beginning,some,DRYPQP,Position of Polar Question Particles,word order,
2,end,some,DRYPQP,Position of Polar Question Particles,word order,
3,second,some,DRYPQP,Position of Polar Question Particles,word order,
4,other,some,DRYPQP,Position of Polar Question Particles,word order,
5,multiple,some,DRYPQP,Position of Polar Question Particles,word order,
6,none,none,DRYPQP,Position of Polar Question Particles,word order,
1,possibility and necessity,some,AUWSEM,Overlap between Situational and Epistemic Modal Marking,verbal categories,
2,possibility or necessity,some,AUWSEM,Overlap between Situational and Epistemic Modal Marking,verbal categories,
3,none,none,AUWSEM,Overlap between Situational and Epistemic Modal Marking,verbal categories,
1,GenN,GenN,DRYGEN,Order of Genitive and Noun,word order,
2,Ngen,Ngen,DRYGEN,Order of Genitive and Noun,word order,
3,both,both,DRYGEN,Order of Genitive and Noun,word order,
1,definite and demonstrative,some,DRYDEF,Definite Articles,nominal categories,
2,definit = demonstrative,some,DRYDEF,Definite Articles,nominal categories,
3,definite affix,some ,DRYDEF,Definite Articles,nominal categories,
4,"no definitie, but indedefinite",some,DRYDEF,Definite Articles,nominal categories,
5,none,none,DRYDEF,Definite Articles,nominal categories,
1,has passive,has passive,SIEPAS,Passive Construction,simple clauses,
2,no passive,no passive,SIEPAS,Passive Construction,simple clauses,
